source_market,source_stock_code,target_market,target_stock_code,relationship_type_code,impact_direction,source,corr_train,n_train
KOSPI,032830,KOSPI,000810,INVEST,POSITIVE,price,0.4017,1415
KOSPI,005930,KOSPI,010140,INVEST,NEGATIVE,price,-0.1016,1415
KOSPI,006400,KOSPI,028050,INVEST,NEGATIVE,price,-0.1037,1415
KOSPI,012330,KOSPI,000720,INVEST,NEGATIVE,price,-0.109,1415
KOSPI,032830,KOSPI,005930,INVEST,POSITIVE,price,0.0239,1415
KOSPI,028260,KOSPI,028050,INVEST,POSITIVE,price,-0.0004,1415
KOSPI,000270,KOSPI,000720,INVEST,NEGATIVE,price,-0.063,1415
KOSPI,028260,KOSPI,005930,INVEST,POSITIVE,price,0.1986,1415
KOSPI,005380,KOSPI,030200,INVEST,POSITIVE,price,0.0357,1415
KOSPI,012330,KOSPI,030200,INVEST,POSITIVE,price,0.0556,1415
KOSPI,032830,KOSPI,010140,INVEST,POSITIVE,price,-0.0273,1415
KOSPI,000810,KOSPI,005930,INVEST,NEGATIVE,price,-0.0861,1415
KOSPI,066570,NASDAQ,MAR,PARTNER,POSITIVE,price,-0.046,1413
KOSPI,064400,NASDAQ,HON,PARTNER,POSITIVE,fallback,,0
KOSPI,373220,NASDAQ,ADI,PARTNER,POSITIVE,fallback,,0
KOSPI,272210,NASDAQ,HON,PARTNER,POSITIVE,price,0.003,714
KOSPI,017670,NASDAQ,GEHC,PARTNER,POSITIVE,fallback,,0
KOSPI,001440,KOSPI,009830,PARTNER,POSITIVE,price,0.0375,1415
KOSPI,307950,NASDAQ,MSFT,PARTNER,POSITIVE,price,0.0031,714
KOSPI,001440,KOSPI,086790,PARTNER,NEGATIVE,price,-0.0578,1415
KOSPI,030200,KOSPI,128940,PARTNER,POSITIVE,price,-0.0327,1415
KOSPI,030200,KOSPI,267270,PARTNER,NEGATIVE,price,-0.0656,1182
KOSPI,021240,NASDAQ,MAR,PARTNER,POSITIVE,price,0.0241,1413
KOSPI,018260,KOSPI,024110,PARTNER,POSITIVE,price,-0.0302,1415
KOSPI,034020,KOSPI,066970,PARTNER,NEGATIVE,price,-0.0572,1415
KOSPI,024110,KOSPI,047040,PARTNER,POSITIVE,price,-0.0063,1415
KOSPI,003670,KOSPI,316140,PARTNER,NEGATIVE,price,-0.1707,714
KOSPI,064400,KOSPI,272210,COMPETE,POSITIVE,price,,0
KOSPI,012330,NASDAQ,QCOM,PARTNER,POSITIVE,price,0.0046,1413
KOSPI,010130,KOSPI,051910,PARTNER,POSITIVE,price,0.0003,1415
KOSPI,000880,KOSPI,010130,PARTNER,POSITIVE,price,-0.0352,1415
KOSPI,018260,NASDAQ,WDAY,PARTNER,POSITIVE,price,0.0159,1413
KOSPI,267250,NASDAQ,PLTR,PARTNER,POSITIVE,price,-0.0444,474
