source_market,source_stock_code,target_market,target_stock_code,relationship_type_code,window_type,score,impact_direction,confidence,evidence_count,formula_version,as_of_at
KOSPI,000720,KOSPI,090430,PARTNER,30D,14.415,POSITIVE,0.657,12,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,017670,NASDAQ,CMCSA,PARTNER,30D,13.6725,POSITIVE,0.671,12,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,032640,KOSPI,175330,PARTNER,30D,11.5575,POSITIVE,0.65,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,024110,KOSPI,066570,PARTNER,30D,10.2825,NEGATIVE,0.6,19,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,373220,NASDAQ,QCOM,PARTNER,30D,25.3125,POSITIVE,0.64,13,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,047810,KOSPI,267250,PARTNER,30D,13.935,POSITIVE,0.8,4,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,018260,NASDAQ,AMZN,PARTNER,30D,11.775,POSITIVE,0.64,13,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,000880,KOSPI,064350,PARTNER,30D,8.5725,POSITIVE,0.8,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,079550,KOSPI,329180,PARTNER,30D,49.6125,POSITIVE,0.67,16,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,064400,NASDAQ,GOOGL,PARTNER,30D,27.075,POSITIVE,0.639,34,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,005830,KOSPI,377300,PARTNER,30D,15.3,NEGATIVE,0.636,11,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,011070,NASDAQ,MSFT,PARTNER,30D,10.9425,POSITIVE,0.655,9,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,042660,KOSPI,298040,PARTNER,30D,31.79,POSITIVE,0.657,7,rel-v0.2-typed,2026-09-14T00:00:00Z
